CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
IT,Italy,ITI4,Lazio,3015.827788,Regional,70.87224838,Regional,11812.74215,Regional,1947.135308,Dark Red,2022-03
LI,Liechtenstein,LI,Liechtenstein,3347.355924,National,61.85253052,National,5061.036984,National,2312.143752,Dark Red,2022-03
LT,Lithuania,LT01,Sostinės regionas,3181.91956,Regional,68.27172335,Regional,7754.070329,Regional,2095.7439,Dark Red,2022-03
LT,Lithuania,LT02,Vidurio ir vakarų Lietuvos regionas,2090.871457,Regional,66.44036038,Regional,5214.23262,Regional,1396.280192,Dark Red,2022-03
LU,Luxembourg,LU,Luxembourg,4460.732014,National,71.1781354,National,6732.225111,National,2873.199078,Dark Red,2022-03
LV,Latvia,LV,Latvija,2499.901713,National,65.21802718,National,7587.718034,National,1684.708424,Dark Red,2022-03
MT,Malta,MT,Malta,827.4966768,National,83.54548705,National,5625.150613,National,481.8286123,Dark Red,2022-03
NL,Netherlands,NL11,Groningen,2594.620613,Regional,70.70878011,National,5987.326789,National,1677.308321,Dark Red,2022-03
NL,Netherlands,NL12,Friesland (NL),2013.056248,Regional,70.70878011,National,5987.326789,National,1301.35249,Dark Red,2022-03
NL,Netherlands,NL13,Drenthe,2068.335487,Regional,70.70878011,National,5987.326789,National,1337.088091,Dark Red,2022-03
NL,Netherlands,NL21,Overijssel,3013.921126,Regional,70.70878011,National,5987.326789,National,1948.367695,Dark Red,2022-03
NL,Netherlands,NL22,Gelderland,2566.885528,Regional,70.70878011,National,5987.326789,National,1659.378806,Dark Red,2022-03
NL,Netherlands,NL23,Flevoland,2840.04813,Regional,70.70878011,National,5987.326789,National,1835.966436,Dark Red,2022-03
NL,Netherlands,NL31,Utrecht,3638.862337,Regional,70.70878011,National,5987.326789,National,2352.364753,Dark Red,2022-03
NL,Netherlands,NL32,Noord-Holland,4126.024865,Regional,70.70878011,National,5987.326789,National,2667.29394,Dark Red,2022-03
